AddressID,City,PostalCode,Country
1,"Daruoyan","993003","China"
2,"Fuyang","649632","China"
3,"Qingshan","353715","China"
4,"Kuzhu","993003","China"
5,"Baisangguan","987035","China"
6,"Daâ€™anshan","1736090","China"
7,"Shuangqiao","692770","China"
8,"Longzui","33620","China"
9,"Huangcun","352 01","China"
10,"Zhuhu","47696","China"
11,"Libei","2004138","China"
12,"Shensuo","687888","China"
13,"Jinhai","987035","China"
14,"Matangshan","354 01","China"
15,"Hancheng","993003","China"
16,"Dongxin","3791994","China"
17,"Shawan","4238958","China"
18,"Guangshun","649633","China"
19,"Sanshan","132808","China"
20,"Youchou","148812","China"
21,"Shuiting","649633","China"
22,"Tuopu","993003","China"
23,"Haoxue","357 01","China"
24,"Liangjing","6662375","China"
25,"Mayuan","381076","China"
26,"Yushikalasu","649633","China"
27,"Nangang","353721","China"
28,"Qianyou","358 01","China"
29,"Longhuashan","358 01","China"
30,"Yejia","308860","China"
31,"Dengtang","649633","China"
32,"Yuejin","356875","China"
33,"Nancheng","360 01","China"
34,"Shuikou","1049393","China"
35,"Luyang","649633","China"
36,"Gucheng","987036","China"
37,"Heshan","381077","China"
38,"Wutong","361 01","China"
39,"Yudaikelike","420894","China"
40,"Mahekou","436899","China"
41,"Yanghuxiang","452904","China"
42,"Nansheng","649633","China"
43,"Hengli","468908","China"
44,"Huangzhan","500918","China"
45,"Miliangju","692781","China"
46,"Sandaoba","649633","China"
47,"Muzhijie","33631","China"
48,"Baitian","993004","China"
49,"Lang","987036","China"
50,"Dongzaogang","364 01","China"
51,"Gunziying","1317823","China"
52,"Baidian","1542021","China"
53,"Liangkou","381077","China"
54,"Zhenlong","353729","China"
55,"Xiaji","1362520","China"
56,"Longtian","366 01","China"
57,"Hexing","660966","China"
58,"Zala","1815704","China"
59,"Datong","381077","China"
60,"Shanglaxiu","33636","China"
61,"Sangba","993004","China"
62,"Jinshi","370 01","China"
63,"Guilin","353734","China"
64,"Meishan","370 01","China"
65,"Zhoukou","1809484","China"
66,"Zhongxin","987037","China"
67,"Longju","2253596","China"
68,"Wuxue Shi","2363069","China"
69,"Shangcai Zhongxing","965057","China"
70,"Shengrenjian","993005","China"
71,"Huolianpo","373 01","China"
72,"Sijing","381078","China"
73,"Yueyang","353737","China"
74,"Lingquan","373 01","China"
75,"Caidian","101307","China"
76,"Shilong","2077662","China"
77,"Youcheng","2122359","China"
78,"Baiyun","374 01","China"
79,"Zhengcun","33642","China"
80,"Qinxi","993005","China"
81,"Nankengzi","987037","China"
82,"Hexi","993005","China"
83,"Chenyangzhai","987037","China"
84,"Fenhe","2746224","China"
85,"Fengping","381078","China"
86,"Tiancheng","692794","China"
87,"Zhangfeng","376 01","China"
88,"Nanping","117312","China"
89,"Jiaotan","118912","China"
