BookingID,CustomerID,TableNumber,BookingDate
16,679,10,2019-06-18 00:00:00.000
27,75,10,2019-06-21 00:00:00.000
52,514,10,2019-06-22 00:00:00.000
78,728,10,2019-07-01 00:00:00.000
82,752,10,2019-07-02 00:00:00.000
99,510,10,2019-07-03 00:00:00.000
106,27,10,2019-07-05 00:00:00.000
131,439,10,2019-07-11 00:00:00.000
147,484,10,2019-07-12 00:00:00.000
157,183,10,2019-07-15 00:00:00.000
176,795,10,2019-07-19 00:00:00.000
184,958,10,2019-07-21 00:00:00.000
195,434,10,2019-07-22 00:00:00.000
206,267,10,2019-07-24 00:00:00.000
220,332,10,2019-07-26 00:00:00.000
229,145,10,2019-07-29 00:00:00.000
239,647,10,2019-07-30 00:00:00.000
257,174,10,2019-07-31 00:00:00.000
285,207,10,2019-08-03 00:00:00.000
289,693,10,2019-08-04 00:00:00.000
314,920,10,2019-08-05 00:00:00.000
320,562,10,2019-08-06 00:00:00.000
334,528,10,2019-08-09 00:00:00.000
353,38,10,2019-08-10 00:00:00.000
359,277,10,2019-08-12 00:00:00.000
377,946,10,2019-08-13 00:00:00.000
388,260,10,2019-08-15 00:00:00.000
401,749,10,2019-08-18 00:00:00.000
413,397,10,2019-08-19 00:00:00.000
423,942,10,2019-08-20 00:00:00.000
434,103,10,2019-08-21 00:00:00.000
448,157,10,2019-08-22 00:00:00.000
480,397,10,2019-08-29 00:00:00.000
502,404,10,2019-08-31 00:00:00.000
512,563,10,2019-09-04 00:00:00.000
523,995,10,2019-09-06 00:00:00.000
533,593,10,2019-09-07 00:00:00.000
550,920,10,2019-09-08 00:00:00.000
564,429,10,2019-09-09 00:00:00.000
590,341,10,2019-09-12 00:00:00.000
603,54,10,2019-09-14 00:00:00.000
614,140,10,2019-09-15 00:00:00.000
622,322,10,2019-09-16 00:00:00.000
644,474,10,2019-09-20 00:00:00.000
663,617,10,2019-09-21 00:00:00.000
679,329,10,2019-09-24 00:00:00.000
685,880,10,2019-09-25 00:00:00.000
704,919,10,2019-09-26 00:00:00.000
715,553,10,2019-09-28 00:00:00.000
735,927,10,2019-09-30 00:00:00.000
746,740,10,2019-10-04 00:00:00.000
766,154,10,2019-10-12 00:00:00.000
779,686,10,2019-10-15 00:00:00.000
824,731,10,2019-10-20 00:00:00.000
831,757,10,2019-10-21 00:00:00.000
850,737,10,2019-10-25 00:00:00.000
864,967,10,2019-10-27 00:00:00.000
881,307,10,2019-10-29 00:00:00.000
894,29,10,2019-10-31 00:00:00.000
907,584,10,2019-11-02 00:00:00.000
932,698,10,2019-11-08 00:00:00.000
944,452,10,2019-11-12 00:00:00.000
963,261,10,2019-11-15 00:00:00.000
968,306,10,2019-11-18 00:00:00.000
979,402,10,2019-11-19 00:00:00.000
1017,484,10,2019-12-01 00:00:00.000
1039,171,10,2019-12-02 00:00:00.000
1048,109,10,2019-12-04 00:00:00.000
1059,974,10,2019-12-06 00:00:00.000
1071,723,10,2019-12-11 00:00:00.000
1078,258,10,2019-12-12 00:00:00.000
1098,231,10,2019-12-13 00:00:00.000
1109,146,10,2019-12-15 00:00:00.000
1117,249,10,2019-12-16 00:00:00.000
1133,233,10,2019-12-17 00:00:00.000
1146,231,10,2019-12-18 00:00:00.000
1155,789,10,2019-12-25 00:00:00.000
1176,772,10,2019-12-27 00:00:00.000
1177,897,10,2019-12-28 00:00:00.000
1196,557,10,2019-12-30 00:00:00.000
1213,345,10,2019-12-31 00:00:00.000
1222,627,10,2020-01-01 00:00:00.000
1238,30,10,2020-01-05 00:00:00.000
1245,98,10,2020-01-06 00:00:00.000
1266,864,10,2020-01-08 00:00:00.000
1273,943,10,2020-01-09 00:00:00.000
1287,363,10,2020-01-12 00:00:00.000
1311,271,10,2020-01-22 00:00:00.000
1329,584,10,2020-01-24 00:00:00.000
1332,570,10,2020-01-28 00:00:00.000
1350,260,10,2020-01-30 00:00:00.000
1359,832,10,2020-01-31 00:00:00.000
1382,394,10,2020-02-02 00:00:00.000
1396,409,10,2020-02-03 00:00:00.000
1398,684,10,2020-02-06 00:00:00.000
1427,130,10,2020-02-10 00:00:00.000
1439,913,10,2020-02-13 00:00:00.000
1450,745,10,2020-02-16 00:00:00.000
1467,349,10,2020-02-17 00:00:00.000
1474,787,10,2020-02-18 00:00:00.000
1496,230,10,2020-02-19 00:00:00.000
1506,655,10,2020-02-21 00:00:00.000
1519,338,10,2020-02-22 00:00:00.000
1524,594,10,2020-02-23 00:00:00.000
1551,817,10,2020-02-25 00:00:00.000
1571,502,10,2020-02-26 00:00:00.000
1575,450,10,2020-02-27 00:00:00.000
1592,917,10,2020-02-29 00:00:00.000
1607,31,10,2020-03-03 00:00:00.000
1621,421,10,2020-03-04 00:00:00.000
1632,47,10,2020-03-05 00:00:00.000
1640,930,10,2020-03-07 00:00:00.000
1670,271,10,2020-03-13 00:00:00.000
1681,666,10,2020-03-15 00:00:00.000
1707,138,10,2020-03-17 00:00:00.000
1726,201,10,2020-03-22 00:00:00.000
1744,461,10,2020-03-24 00:00:00.000
1759,660,10,2020-03-28 00:00:00.000
1776,333,10,2020-03-30 00:00:00.000
1783,553,10,2020-04-01 00:00:00.000
1808,616,10,2020-04-03 00:00:00.000
1822,692,10,2020-04-05 00:00:00.000
1843,832,10,2020-04-09 00:00:00.000
1855,124,10,2020-04-13 00:00:00.000
1861,531,10,2020-04-15 00:00:00.000
1886,610,10,2020-04-17 00:00:00.000
1887,885,10,2020-04-19 00:00:00.000
1909,671,10,2020-04-20 00:00:00.000
1921,288,10,2020-04-21 00:00:00.000
1941,347,10,2020-04-24 00:00:00.000
1960,620,10,2020-04-28 00:00:00.000
1970,79,10,2020-04-29 00:00:00.000
2001,454,10,2020-05-01 00:00:00.000
2029,449,10,2020-05-06 00:00:00.000
2041,164,10,2020-05-09 00:00:00.000
2076,734,10,2020-05-15 00:00:00.000
2094,699,10,2020-05-16 00:00:00.000
2133,400,10,2020-05-24 00:00:00.000
2138,95,10,2020-05-26 00:00:00.000
2166,152,10,2020-05-29 00:00:00.000
2172,48,10,2020-05-30 00:00:00.000
2196,933,10,2020-06-01 00:00:00.000
2219,68,10,2020-06-02 00:00:00.000
2226,797,10,2020-06-03 00:00:00.000
2236,314,10,2020-06-04 00:00:00.000
2247,764,10,2020-06-05 00:00:00.000
2262,137,10,2020-06-06 00:00:00.000
2273,963,10,2020-06-07 00:00:00.000
2303,891,10,2020-06-10 00:00:00.000
2320,722,10,2020-06-14 00:00:00.000
2344,733,10,2020-06-18 00:00:00.000
2349,969,10,2020-06-19 00:00:00.000
2368,646,10,2020-06-20 00:00:00.000
2374,359,10,2020-06-22 00:00:00.000
2389,394,10,2020-06-23 00:00:00.000
2400,178,10,2020-06-26 00:00:00.000
2413,777,10,2020-06-27 00:00:00.000
2424,950,10,2020-06-28 00:00:00.000
2441,39,10,2020-06-29 00:00:00.000
2449,102,10,2020-06-30 00:00:00.000
2464,852,10,2020-07-01 00:00:00.000
2470,691,10,2020-07-03 00:00:00.000
2482,675,10,2020-07-09 00:00:00.000
2498,190,10,2020-07-10 00:00:00.000
2505,171,10,2020-07-12 00:00:00.000
2528,482,10,2020-07-14 00:00:00.000
2537,176,10,2020-07-15 00:00:00.000
2549,233,10,2020-07-17 00:00:00.000
2562,807,10,2020-07-18 00:00:00.000
2574,10,10,2020-07-20 00:00:00.000
2584,435,10,2020-07-21 00:00:00.000
2595,630,10,2020-07-23 00:00:00.000
2607,455,10,2020-07-24 00:00:00.000
2622,312,10,2020-07-25 00:00:00.000
2646,777,10,2020-07-27 00:00:00.000
2653,387,10,2020-07-28 00:00:00.000
2693,895,10,2020-08-04 00:00:00.000
2718,224,10,2020-08-07 00:00:00.000
2751,418,10,2020-08-10 00:00:00.000
2754,584,10,2020-08-11 00:00:00.000
2771,284,10,2020-08-12 00:00:00.000
2778,520,10,2020-08-13 00:00:00.000
2794,781,10,2020-08-16 00:00:00.000
2804,62,10,2020-08-17 00:00:00.000
2826,59,10,2020-08-18 00:00:00.000
2837,104,10,2020-08-19 00:00:00.000
2847,872,10,2020-08-20 00:00:00.000
2861,158,10,2020-08-22 00:00:00.000
2869,505,10,2020-08-25 00:00:00.000
2886,594,10,2020-08-26 00:00:00.000
2911,688,10,2020-08-30 00:00:00.000
2921,614,10,2020-08-31 00:00:00.000
2931,84,10,2020-09-03 00:00:00.000
2947,416,10,2020-09-04 00:00:00.000
2955,571,10,2020-09-05 00:00:00.000
2971,434,10,2020-09-06 00:00:00.000
2976,838,10,2020-09-15 00:00:00.000
2992,962,10,2020-09-17 00:00:00.000
3009,996,10,2020-09-18 00:00:00.000
3021,203,10,2020-09-19 00:00:00.000
3027,690,10,2020-09-22 00:00:00.000
3060,957,10,2020-09-24 00:00:00.000
3069,187,10,2020-09-25 00:00:00.000
3082,861,10,2020-09-26 00:00:00.000
3099,700,10,2020-09-28 00:00:00.000
3110,666,10,2020-09-30 00:00:00.000
3135,875,10,2020-10-01 00:00:00.000
3137,488,10,2020-10-03 00:00:00.000
3170,113,10,2020-10-07 00:00:00.000
3181,139,10,2020-10-08 00:00:00.000
3188,229,10,2020-10-09 00:00:00.000
3208,381,10,2020-10-11 00:00:00.000
3212,144,10,2020-10-15 00:00:00.000
3231,264,10,2020-10-16 00:00:00.000
3243,366,10,2020-10-17 00:00:00.000
3256,349,10,2020-10-18 00:00:00.000
3270,599,10,2020-10-19 00:00:00.000
3282,338,10,2020-10-20 00:00:00.000
3294,713,10,2020-10-22 00:00:00.000
3325,924,10,2020-10-26 00:00:00.000
3340,999,10,2020-10-27 00:00:00.000
3347,104,10,2020-10-28 00:00:00.000
3375,430,10,2020-11-03 00:00:00.000
3388,300,10,2020-11-04 00:00:00.000
3392,785,10,2020-11-05 00:00:00.000
3408,281,10,2020-11-07 00:00:00.000
3424,272,10,2020-11-13 00:00:00.000
3439,486,10,2020-11-15 00:00:00.000
3457,841,10,2020-11-17 00:00:00.000
3467,234,10,2020-11-19 00:00:00.000
3486,546,10,2020-11-20 00:00:00.000
3501,187,10,2020-11-21 00:00:00.000
3504,884,10,2020-11-23 00:00:00.000
3516,977,10,2020-11-24 00:00:00.000
3535,24,10,2020-11-25 00:00:00.000
3554,792,10,2020-11-28 00:00:00.000
3560,315,10,2020-11-29 00:00:00.000
3575,29,10,2020-12-05 00:00:00.000
3591,816,10,2020-12-07 00:00:00.000
3602,662,10,2020-12-08 00:00:00.000
3613,74,10,2020-12-09 00:00:00.000
3645,852,10,2020-12-14 00:00:00.000
3650,152,10,2020-12-15 00:00:00.000
3663,545,10,2020-12-16 00:00:00.000
3685,524,10,2020-12-17 00:00:00.000
3687,216,10,2020-12-18 00:00:00.000
3702,581,10,2020-12-19 00:00:00.000
3724,282,10,2020-12-21 00:00:00.000
3734,534,10,2020-12-23 00:00:00.000
3747,433,10,2020-12-27 00:00:00.000
3766,20,10,2020-12-30 00:00:00.000
3779,297,10,2020-12-31 00:00:00.000
3790,73,10,2021-01-02 00:00:00.000
3822,761,10,2021-01-05 00:00:00.000
3836,320,10,2021-01-07 00:00:00.000
3841,771,10,2021-01-08 00:00:00.000
3860,840,10,2021-01-09 00:00:00.000
3873,454,10,2021-01-11 00:00:00.000
3886,41,10,2021-01-12 00:00:00.000
3902,769,10,2021-01-17 00:00:00.000
3910,845,10,2021-01-18 00:00:00.000
3927,654,10,2021-01-19 00:00:00.000
3934,538,10,2021-01-21 00:00:00.000
3963,791,10,2021-01-23 00:00:00.000
3979,806,10,2021-01-25 00:00:00.000
3986,637,10,2021-01-27 00:00:00.000
4001,146,10,2021-01-28 00:00:00.000
4013,504,10,2021-01-29 00:00:00.000
4020,776,10,2021-01-30 00:00:00.000
4047,278,10,2021-02-03 00:00:00.000
4067,274,10,2021-02-04 00:00:00.000
4073,569,10,2021-02-05 00:00:00.000
4088,302,10,2021-02-06 00:00:00.000
4121,143,10,2021-02-08 00:00:00.000
4133,531,10,2021-02-11 00:00:00.000
4156,154,10,2021-02-14 00:00:00.000
4160,146,10,2021-02-15 00:00:00.000
4171,384,10,2021-02-16 00:00:00.000
4186,9,10,2021-02-18 00:00:00.000
4191,528,10,2021-02-19 00:00:00.000
4211,240,10,2021-02-21 00:00:00.000
4229,226,10,2021-02-24 00:00:00.000
4234,618,10,2021-02-25 00:00:00.000
4249,466,10,2021-02-26 00:00:00.000
4259,475,10,2021-03-02 00:00:00.000
4277,598,10,2021-03-03 00:00:00.000
4282,847,10,2021-03-04 00:00:00.000
4295,980,10,2021-03-09 00:00:00.000
4306,640,10,2021-03-11 00:00:00.000
4319,842,10,2021-03-12 00:00:00.000
4352,21,10,2021-03-16 00:00:00.000
4357,687,10,2021-03-19 00:00:00.000
4368,496,10,2021-03-20 00:00:00.000
4386,90,10,2021-03-25 00:00:00.000
4403,327,10,2021-03-27 00:00:00.000
4412,118,10,2021-03-28 00:00:00.000
4422,503,10,2021-04-02 00:00:00.000
4431,529,10,2021-04-03 00:00:00.000
4456,861,10,2021-04-04 00:00:00.000
4471,567,10,2021-04-07 00:00:00.000
4483,636,10,2021-04-08 00:00:00.000
4486,19,10,2021-04-10 00:00:00.000
4504,80,10,2021-04-12 00:00:00.000
4518,929,10,2021-04-15 00:00:00.000
4524,393,10,2021-04-17 00:00:00.000
4542,208,10,2021-04-19 00:00:00.000
4551,417,10,2021-04-20 00:00:00.000
4566,113,10,2021-04-21 00:00:00.000
4582,461,10,2021-04-23 00:00:00.000
4591,167,10,2021-04-24 00:00:00.000
4603,31,10,2021-04-25 00:00:00.000
4612,695,10,2021-04-27 00:00:00.000
4627,749,10,2021-04-28 00:00:00.000
4636,460,10,2021-05-01 00:00:00.000
4650,593,10,2021-05-02 00:00:00.000
4664,7,10,2021-05-09 00:00:00.000
4696,570,10,2021-05-11 00:00:00.000
4704,503,10,2021-05-16 00:00:00.000
4711,303,10,2021-05-17 00:00:00.000
4732,204,10,2021-05-19 00:00:00.000
4740,52,10,2021-05-20 00:00:00.000
4760,562,10,2021-05-22 00:00:00.000
4777,628,10,2021-05-26 00:00:00.000
4799,646,10,2021-05-29 00:00:00.000
4828,46,10,2021-05-31 00:00:00.000
4852,649,10,2021-06-03 00:00:00.000
4863,65,10,2021-06-04 00:00:00.000
4873,196,10,2021-06-08 00:00:00.000
4885,53,10,2021-06-12 00:00:00.000
4923,701,10,2021-06-14 00:00:00.000
4924,12,10,2021-06-15 00:00:00.000
4948,404,10,2021-06-16 00:00:00.000
4953,67,10,2021-06-17 00:00:00.000
4970,170,10,2021-06-18 00:00:00.000
4979,361,10,2021-06-20 00:00:00.000
4985,516,10,2021-06-21 00:00:00.000
5018,168,10,2021-06-24 00:00:00.000
5029,912,10,2021-06-28 00:00:00.000
5040,729,10,2021-06-30 00:00:00.000
5057,428,10,2021-07-01 00:00:00.000
5059,685,10,2021-07-02 00:00:00.000
5080,303,10,2021-07-03 00:00:00.000
5088,214,10,2021-07-06 00:00:00.000
5097,763,10,2021-07-09 00:00:00.000
